id;question;options;correct_answer;explanation;context_image
1;True or False: In a Bayesian network, any variable must have at least one parent.;True|False;False;False. Root nodes (variables at the top of the graph) have no parents.
2;True or False: The Chain Rule for Bayesian Networks is only valid when there are conditional independencies in the network.;True|False;False;False. The Chain Rule ($P(X_1...X_n) = \prod P(X_i | Parents(X_i))$) is the fundamental definition of a BN and is always valid for that graph structure.
3;True or False: If a variable A in a network is independent of some other variable B, then B is also independent of A.;True|False;True;True. Independence is symmetric. If $P(A|B) = P(A)$, then $P(B|A) = P(B)$.
4;True or False: A variable that is not connected to any other variables in a network is not part of the full joint distribution.;True|False;False;False. Even isolated variables are part of the joint distribution $P(X_1...X_n)$. They are simply independent of all other variables ($P(X) \cdot P(Others)$).
5;True or False: A fully connected Bayesian network without any independencies defined over N Boolean variables must have $2^N - 1$ non-redundant parameters.;True|False;True;True. A fully connected graph represents the full joint distribution without simplifications, requiring $2^N - 1$ parameters.
6;True or False: For any full joint distribution defined over a set of variables X, there is exactly one Bayesian network that represents it.;True|False;False;False. Multiple graph structures can represent the same distribution (e.g., $A \rightarrow B$ and $B \rightarrow A$ are Markov equivalent).
7;True or False: A variable that is not connected to any other variables in a network does not contribute to the probability of an atomic event.;True|False;False;False. An atomic event includes values for ALL variables. The isolated variable's probability $P(X=x)$ is multiplied into the joint probability.
8;Give the number of dimensions/entries for the table $P(S)$. (S has 2 values);1|2|4|8;2;S is a root node with 2 values (yes, no). The table has 2 entries (though 1 is independent).;info_variables_context.png
9;Give the number of dimensions for the table $P(D | M=low, W=office)$. (D has 7 values);1|7|14|21;7;We are conditioning on specific values of M and W, so this is a distribution over D only. D has 7 values.;info_variables_context.png
10;Give the number of dimensions/entries for the table $P(D, W, M | S)$.;18|42|126|252;126;Dimensions: $D(7) \times W(3) \times M(3) \times S(2) = 126$. Note: The question asks for the size of the conditional table entries.
11;Give the number of dimensions/entries for the table $P(D, W | S, M)$.;42|126|21|63;126;Dimensions: $D(7) \times W(3) \times S(2) \times M(3) = 126$. The table defines probability for every combination.
