id;question;options;correct_answer;explanation;context_image
1;What is the primary purpose of Bayes' Theorem in probabilistic reasoning?;To update prior beliefs based on new evidence|To calculate the joint probability of independent events|To transform continuous variables into discrete ones|To eliminate hidden variables from a network;To update prior beliefs based on new evidence;Bayes' Theorem mathematically describes how to update the probability of a hypothesis (prior) given new evidence, yielding the posterior probability.;
2;If events A and B are conditionally independent given C, which equation holds true?;P(A, B | C) = P(A | C) P(B | C)|P(A | B, C) = P(A | B)|P(A, B) = P(A) P(B)|P(A | C) = P(B | C);P(A, B | C) = P(A | C) P(B | C);Conditional independence means that if C is known, A and B occur independently of each other.;
3;In a Bayesian Network, what does a directed edge from node X to node Y explicitly represent?;A direct probabilistic dependence of Y on X|A deterministic relationship where X causes Y|That X and Y are marginally independent|That X is a hidden variable and Y is observed;A direct probabilistic dependence of Y on X;Edges denote direct influence or dependence, which allows the joint distribution to factorize according to the graph structure.;
4;Which of the following describes a 'v-structure' (or common effect) in a Bayesian Network?;X -> Z <- Y|X <- Z -> Y|X -> Z -> Y|X <-> Z <-> Y;X -> Z <- Y;A v-structure occurs when two parent nodes share a single common child node.;
5;In a common cause structure (A <- B -> C), what happens when B is observed?;A and C become conditionally independent|A and C become conditionally dependent|The probability of B becomes 0|The network becomes cyclic;A and C become conditionally independent;Observing the common cause blocks the active path between its effects, rendering them independent.;
6;What is the phenomenon called when observing one cause of a common effect reduces the probability of a competing cause?;Explaining away|Marginalization|Causal smoothing|Likelihood weighting;Explaining away;Explaining away occurs in a v-structure when the effect is observed, and finding one cause makes the other less necessary.;
7;What defines the Markov Blanket of a node X in a Bayesian Network?;Its parents, children, and the other parents of its children|All of its ancestors and descendants|Only its direct parents|All nodes that share an undirected path with X;Its parents, children, and the other parents of its children;A node is conditionally independent of the entire rest of the network given this specific set of nodes.;
8;How many parameters are required to specify the Conditional Probability Table (CPT) for a Boolean variable with k Boolean parents?;2^k|k^2|2^(k+1)|k;2^k;For every possible combination of the k parents (which is 2^k), we must specify 1 parameter for the child (the other is 1-p).;
9;What is the primary advantage of representing a joint distribution using a Bayesian Network?;It drastically reduces the number of parameters required|It ensures that exact inference is always polynomial time|It eliminates the need for prior probabilities|It allows cycles in causal reasoning;It drastically reduces the number of parameters required;By exploiting conditional independencies, BNs avoid the exponential blowup of explicitly listing the full joint distribution.;
10;In the Variable Elimination algorithm, what mathematical operation is performed to eliminate a hidden variable?;Summing out|Integration over time|Maximum likelihood estimation|Matrix inversion;Summing out;Variable elimination works by multiplying all factors involving the target variable and then summing it out of the resulting factor.;
11;What determines the worst-case time complexity of the Variable Elimination algorithm?;The size of the largest intermediate factor created|The total number of edges in the network|The number of query variables|The number of observed evidence variables;The size of the largest intermediate factor created;The computational cost is dominated by the largest table generated during the pointwise multiplication steps, related to the network's treewidth.;
12;Which of the following is true about the optimal elimination ordering in Variable Elimination?;Finding the optimal elimination ordering is NP-hard|Topological sort always provides the optimal ordering|The ordering does not affect the time complexity|Leaves should always be eliminated last;Finding the optimal elimination ordering is NP-hard;Determining the sequence that produces the smallest intermediate factors is computationally intractable for general graphs.;
13;In Forward Sampling, how is a sample for the entire network generated?;By sampling each variable in topological order based on its parents' sampled values|By sampling variables uniformly at random|By changing one variable at a time based on its Markov Blanket|By forcing evidence variables to be true and weighting the result;By sampling each variable in topological order based on its parents' sampled values;Forward sampling processes the graph from roots to leaves, using the CPTs to simulate an outcome.;
14;What is the main drawback of Rejection Sampling when evidence is present?;It rejects many samples, making it inefficient for rare evidence|It cannot handle continuous variables|It requires exact computation of marginal probabilities first|It forces evidence variables to take incorrect values;It rejects many samples, making it inefficient for rare evidence;If the probability of the evidence is low, the vast majority of generated samples will be thrown away, wasting computation.;
15;How does Likelihood Weighting improve upon Rejection Sampling?;It forces evidence variables to their observed values and assigns a weight to the sample|It uses Markov Chain Monte Carlo to explore the state space|It eliminates the need for topological sorting|It analytically sums out the hidden variables;It forces evidence variables to their observed values and assigns a weight to the sample;By fixing evidence and weighting the sample by the probability of that evidence, it ensures no samples are thrown away.;
16;In Gibbs Sampling, a variable is iteratively resampled given the current state of which other variables?;Its Markov Blanket|Only its parents|All other variables in the network|Only the evidence variables;Its Markov Blanket;In MCMC methods like Gibbs Sampling, a variable's new state is drawn from its conditional distribution given its Markov Blanket.;
17;In the context of parameter learning, what does Maximum Likelihood Estimation (MLE) attempt to maximize?;The probability of the observed data given the parameters|The probability of the parameters given the observed data|The number of edges in the network structure|The structural complexity penalty (BIC);The probability of the observed data given the parameters;MLE finds the parameter values that make the observed training data most probable.;
18;What problem does Laplace Smoothing (add-one smoothing) solve in Parameter Learning?;The zero-count problem where unseen events get assigned a probability of zero|The exponential size of the Conditional Probability Tables|The inability to find the global maximum of the likelihood function|The problem of having hidden variables in the training data;The zero-count problem where unseen events get assigned a probability of zero;Adding a pseudocount ensures that events not present in the training data still have a non-zero probability of occurring.;
19;What is the difference between MLE and MAP (Maximum A Posteriori) estimation?;MAP includes a prior distribution over the parameters|MLE is used for structure learning, MAP for parameter learning|MLE requires complete data, while MAP works only with hidden variables|There is no mathematical difference;MAP includes a prior distribution over the parameters;MLE relies solely on the data to find parameters. MAP incorporates prior beliefs about the parameters, acting as a form of regularization.;
